State,Reg Year,Fraction_BEV,Fraction_PHEV,Fraction_FCEV
Missouri,2019,0.006253190403266973,0.009317927692881103,0
Montana,2019,8.933129147524247e-4,9.317927692881103e-4,0
Nebraska,2019,0.0016590096988259315,0.002049944092433843,0
Nevada,2019,0.010081674323634507,0.006708907938874394,0
New Hampshire,2019,0.0024247064828994383,0.004099888184867686,0
New Jersey,2019,0.0257784583971414,0.02180395080134178,0
New Mexico,2019,0.0024247064828994383,0.002981736861721953,0
New York,2019,0.029351710056151097,0.05218039508013418,0
North Carolina,2019,0.014803471158754467,0.015095042862467387,0
North Dakota,2019,2.5523226135783564e-4,3.727171077152441e-4,0
Ohio,2019,0.013016845329249618,0.0160268356317555,0
Oklahoma,2019,0.004338948443083206,0.002981736861721953,0
Oregon,2019,0.02399183256763655,0.019381289601192696,0
Pennsylvania,2019,0.015313935681470138,0.02087215803205367,0
Rhode Island,2019,0.001403777437468096,0.002422661200149087,0
South Carolina,2019,0.0038284839203675345,0.004845322400298174,0
South Dakota,2019,3.8284839203675346e-4,7.454342154304882e-4,0
Tennessee,2019,0.007274119448698315,0.006708907938874394,0
Texas,2019,0.04900459418070444,0.03373089824822959,0.0078125
Utah,2019,0.010209290454313425,0.008199776369735371,0
Vermont,2019,0.002169474221541603,0.003727171077152441,0
Virginia,2019,0.01914241960183767,0.018263138278046962,0
Washington,2019,0.0515569167942828,0.030003727171077153,0
West Virginia,2019,5.104645227156713e-4,0.0011181513231457323,0
Wisconsin,2019,0.0059979581419091375,0.00987700335445397,0
Wyoming,2019,2.5523226135783564e-4,3.727171077152441e-4,0
Alabama,2020,0.0028462066934929827,0.0035329744279946162,0
Alaska,2020,8.833055255667877e-4,6.729475100942127e-4,0
Arizona,2020,0.028265776818137207,0.018842530282637954,0
Arkansas,2020,0.0012758857591520267,0.0018506056527590848,0
California,2020,0.41741093335950535,0.44666890982503366,0.9859154929577465
Colorado,2020,0.024241829423888507,0.01816958277254374,0
Connecticut,2020,0.008833055255667877,0.010430686406460296,0
Delaware,2020,0.0018647561095298851,0.0025235531628532972,0
District of Columbia,2020,0.002355481401511434,0.0026917900403768506,0
Florida,2020,0.05712042398665227,0.03768506056527591,0
Georgia,2020,0.02306408872313279,0.015814266487214,0
Hawaii,2020,0.010501521248405143,0.005383580080753701,0.007042253521126761
Idaho,2020,0.002257336343115124,0.0028600269179004036,0
Illinois,2020,0.025517715183040534,0.02187079407806191,0
Indiana,2020,0.006870154087741682,0.008916554508748318,0
Iowa,2020,0.002257336343115124,0.004374158815612382,0
Kansas,2020,0.003042496810285602,0.004037685060565276,0
Kentucky,2020,0.0025517715183040533,0.0035329744279946162,0
Louisiana,2020,0.001962901167926195,0.002018842530282638,0
Maine,2020,0.0018647561095298851,0.004710632570659489,0
Maryland,2020,0.017666110511335754,0.020020188425302825,0
Massachusetts,2020,0.020610462263225045,0.026244952893674293,0
Michigan,2020,0.010403376190008832,0.021029609690444144,0
Minnesota,2020,0.010207086073216213,0.011271870794078062,0
Mississippi,2020,7.85160467170478e-4,0.0011776581426648722,0
Missouri,2020,0.006575718912552753,0.008916554508748318,0
Montana,2020,8.833055255667877e-4,0.001009421265141319,0
Nebraska,2020,0.0017666110511335754,0.002187079407806191,0
Nevada,2020,0.010795956423594072,0.0070659488559892325,0
New Hampshire,2020,0.0026499165767003632,0.004205921938088829,0
New Jersey,2020,0.029836097752478162,0.021534320323014805,0
New Mexico,2020,0.0025517715183040533,0.00319650067294751,0
New York,2020,0.03199528903719698,0.05484522207267833,0
North Carolina,2020,0.01589949946020218,0.015646029609690443,0
North Dakota,2020,1.962901167926195e-4,5.047106325706595e-4,0
Ohio,2020,0.014231033467464913,0.01598250336473755,0
Oklahoma,2020,0.0033369319854745314,0.003028263795423957,0
Oregon,2020,0.022377073314358623,0.019851951547779273,0
Pennsylvania,2020,0.017175385219354206,0.021534320323014805,0
Rhode Island,2020,0.001570320934340956,0.0026917900403768506,0
South Carolina,2020,0.004318382569437629,0.0050471063257065945,0
South Dakota,2020,3.92580233585239e-4,8.411843876177658e-4,0
Tennessee,2020,0.00765531455491216,0.007234185733512786,0
Texas,2020,0.05123172048287369,0.034320323014804845,0.007042253521126761
Utah,2020,0.010992246540386691,0.008748317631224764,0
Vermont,2020,0.0021591912847188145,0.0038694481830417226,0
Virginia,2020,0.020119736971243498,0.018842530282637954,0
Washington,2020,0.04956325449013642,0.03095558546433378,0
West Virginia,2020,5.888703503778585e-4,0.0011776581426648722,0
Wisconsin,2020,0.006183138678967514,0.009925975773889636,0
Wyoming,2020,2.9443517518892924e-4,5.047106325706595e-4,0
Alabama,2021,0.0032315731573157314,0.004194204372140315,0
Alaska,2021,8.938393839383939e-4,6.354855109303507e-4,0
Arizona,2021,0.027984048404840485,0.019700050838840875,0
Arkansas,2021,0.0016501650165016502,0.002287747839349263,0
California,2021,0.38716996699669964,0.4007371631926792,1
Colorado,2021,0.02544004400440044,0.020462633451957295,0
Connecticut,2021,0.009144664466446645,0.011692933401118455,0
Delaware,2021,0.0020627062706270625,0.002541942043721403,0
District of Columbia,2021,0.002544004400440044,0.003177427554651754,0
Florida,2021,0.06573157315731573,0.04092526690391459,0
Georgia,2021,0.023377337733773377,0.01728520589730554,0
Hawaii,2021,0.009763476347634763,0.005719369598373157,0
Idaho,2021,0.0024064906490649067,0.003177427554651754,0
Illinois,2021,0.025096259625962597,0.02325876970005084,0
Indiana,2021,0.007150715071507151,0.009532282663955262,0
Iowa,2021,0.002544004400440044,0.004575495678698526,0
Kansas,2021,0.003094059405940594,0.004194204372140315,0
Kentucky,2021,0.0028877887788778876,0.003940010167768175,0
Louisiana,2021,0.0022002200220022,0.002541942043721403,0
Maine,2021,0.0020627062706270625,0.005338078291814947,0
Maryland,2021,0.0176017601760176,0.021860701576004067,0
Massachusetts,2021,0.02097084708470847,0.028215556685307574,0
Michigan,2021,0.012032453245324532,0.021860701576004067,0
Minnesota,2021,0.010313531353135313,0.011311642094560244,0
Mississippi,2021,8.938393839383939e-4,0.0013980681240467717,0
Missouri,2021,0.006875687568756876,0.009150991357397052,0
Montana,2021,0.0011001100110011,0.0013980681240467717,0
Nebraska,2021,0.0018564356435643563,0.002541942043721403,0
Nevada,2021,0.011963696369636964,0.00800711743772242,0
New Hampshire,2021,0.0027502750275027505,0.004448398576512456,0
New Jersey,2021,0.032865786578657866,0.02351296390442298,0
New Mexico,2021,0.0028877887788778876,0.0035587188612099642,0
New York,2021,0.035684818481848186,0.05668530757498729,0
North Carolina,2021,0.017326732673267328,0.017158108795119472,0
North Dakota,2021,2.75027502750275e-4,5.083884087442806e-4,0
Ohio,2021,0.014576457645764576,0.016649720386375192,0
Oklahoma,2021,0.0048817381738173815,0.00876970005083884,0
Oregon,2021,0.020833333333333332,0.021479410269445855,0
Pennsylvania,2021,0.018426842684268425,0.022623284189120487,0
Rhode Island,2021,0.001718921892189219,0.003050330452465684,0
South Carolina,2021,0.005088008800880088,0.005973563802745298,0
South Dakota,2021,4.812981298129813e-4,8.896797153024911e-4,0
Tennessee,2021,0.008388338833883388,0.00800711743772242,0
Texas,2021,0.05562431243124313,0.03889171326893747,0
Utah,2021,0.011344884488448845,0.009532282663955262,0
Vermont,2021,0.0023377337733773377,0.004067107269954245,0
Virginia,2021,0.021108360836083608,0.020081342145399084,0
Washington,2021,0.04592959295929593,0.03088459583121505,0
West Virginia,2021,6.875687568756876e-4,0.0012709710218607015,0
Wisconsin,2021,0.006394389438943895,0.009786476868327402,0
Wyoming,2021,3.437843784378438e-4,5.083884087442806e-4,0
Alabama,2022,0.0035622159439872253,0.00434610825760569,0
Alaska,2022,8.189002170085575e-4,6.91426313709996e-4,0
Arizona,2022,0.02694181713958154,0.020150138285262742,0
Arkansas,2022,0.0020881955533718216,0.0024693796918214147,0
California,2022,0.36997911804446626,0.3566772026866851,1
Colorado,2022,0.024526061499406296,0.023706045041485577,0
Connecticut,2022,0.009007902387094133,0.012939549585144212,0
Delaware,2022,0.0022110305859231053,0.002765705254839984,0
District of Columbia,2022,0.0024157556401752447,0.0031608060055314103,0
Florida,2022,0.06878761822871883,0.04523903595416831,0
Georgia,2022,0.024607951521107153,0.01787830896878704,0
Hawaii,2022,0.008107112148384719,0.005531410509679968,0
Idaho,2022,0.0024157556401752447,0.00345713156854998,0
Illinois,2022,0.02739221225893625,0.02538522323192414,0
Indiana,2022,0.007247266920525734,0.009976293954958514,0
Iowa,2022,0.0025385906727265284,0.004839984195969972,0
Kansas,2022,0.0031118208246325185,0.004247333069932833,0
Kentucky,2022,0.0031118208246325185,0.00434610825760569,0
Louisiana,2022,0.0024157556401752447,0.0028644804425128406,0
Maine,2022,0.0020472505425213937,0.005630185697352825,0
Maryland,2022,0.018875650002047252,0.022619517977084155,0
Massachusetts,2022,0.02022683536011137,0.030126432240221258,0
Michigan,2022,0.013552798591491626,0.02400237060450415,0
Minnesota,2022,0.009949637636653973,0.011754247333069933,0
Mississippi,2022,9.82680260410269e-4,0.0015804030027657052,0
Missouri,2022,0.00732915694222659,0.010272619517977083,0
Montana,2022,0.00135118535806412,0.0016791781904385618,0
Nebraska,2022,0.0018834704991196824,0.0028644804425128406,0
Nevada,2022,0.01347090856979077,0.00869221651521138,0
New Hampshire,2022,0.002866150759529951,0.004741209008297116,0
New Jersey,2022,0.03562215943987225,0.026471750296325564,0
New Mexico,2022,0.002907095770380379,0.0038522323192414065,0
New York,2022,0.03468042419031241,0.05906756222836823,0
North Carolina,2022,0.01867092494779511,0.018569735282497037,0
North Dakota,2022,2.4567006510256724e-4,5.926511260371395e-4,0
Ohio,2022,0.013962248699995905,0.01758198340576847,0
Oklahoma,2022,0.006674036768619744,0.011359146582378507,0
Oregon,2022,0.0192441550997011,0.02222441722639273,0
Pennsylvania,2022,0.019407935143102812,0.025088897668905572,0
Rhode Island,2022,0.0017606354665683987,0.0033583563808771235,0
South Carolina,2022,0.005527576464807763,0.006617937574081391,0
South Dakota,2022,4.913401302051345e-4,9.877518767285659e-4,0
Tennessee,2022,0.009007902387094133,0.008790991702884235,0
Texas,2022,0.06100806616713753,0.04227578032398262,0
Utah,2022,0.011464603038119804,0.010075069142631371,0
Vermont,2022,0.0021700855750726774,0.004148557882259977,0
Virginia,2022,0.023174876141342178,0.021434215725009878,0
Washington,2022,0.04262375629529542,0.031015408929276966,0
West Virginia,2022,7.779552061581296e-4,0.001382852627419992,0
Wisconsin,2022,0.006428366703517176,0.009877518767285659,0
Wyoming,2022,3.27560086803423e-4,5.926511260371395e-4,0
Alabama,2023,0.0036558958350909757,0.004436964504283966,0
Alaska,2023,7.593014426727411e-4,6.884944920440637e-4,0
Arizona,2023,0.02525380353778228,0.019583843329253364,0
Arkansas,2023,0.001996681571472764,0.0024479804161566705,0
California,2023,0.3533845158750246,0.3141829865361077,1
Colorado,2023,0.025338170364745914,0.028687270501835987,0
Connecticut,2023,0.008886639106836526,0.014075887392900856,0
Delaware,2023,0.002362271154981861,0.0029069767441860465,0
District of Columbia,2023,0.002277904328018223,0.0028304773561811506,0
Florida,2023,0.07168368064343766,0.043834149326805384,0
Georgia,2023,0.02598498270480047,0.017365361077111383,0
Hawaii,2023,0.007199302567563767,0.005584455324357405,0
Idaho,2023,0.002390393430636407,0.003518971848225214,0
Illinois,2023,0.028009786551927783,0.02555079559363525,0
Indiana,2023,0.007339913945836497,0.009868421052631578,0
Iowa,2023,0.002531004808909137,0.004666462668298654,0
Kansas,2023,0.003177817148963694,0.004283965728274173,0
Kentucky,2023,0.003262183975927332,0.004283965728274173,0
Louisiana,2023,0.0023060266036727694,0.0030599755201958386,0
Maine,2023,0.0020810483984364013,0.005813953488372093,0
Maryland,2023,0.020276160746927643,0.023944308445532435,0
Massachusetts,2023,0.020754239433054922,0.03350673194614443,0
Michigan,2023,0.014145504654236621,0.022261321909424724,0
Minnesota,2023,0.010433364267836554,0.012316401468788249,0
Mississippi,2023,0.0010124019235636548,0.0015299877600979193,0
Missouri,2023,0.0075648921510728644,0.010633414932680538,0
Montana,2023,0.0012936246801091144,0.001912484700122399,0
Nebraska,2023,0.0019404370201636717,0.0029069767441860465,0
Nevada,2023,0.013329958660254788,0.008108935128518973,0
New Hampshire,2023,0.0027841052898000505,0.005048959608323134,0
New Jersey,2023,0.03790882758232796,0.03128824969400245,0
New Mexico,2023,0.0028965943924182344,0.003748470012239902,0
New York,2023,0.03692454793441885,0.07060893512851897,0
North Carolina,2023,0.019741837509491267,0.018130354957160342,0
North Dakota,2023,2.8122275654545966e-4,6.119951040391676e-4,0
Ohio,2023,0.014173626929891167,0.01835985312117503,0
Oklahoma,2023,0.00641187884923648,0.025244798041615668,0
Oregon,2023,0.018110745521527603,0.022031823745410038,0
Pennsylvania,2023,0.019741837509491267,0.029758261933904528,0
Rhode Island,2023,0.0017998256418909418,0.003901468788249694,0
South Carolina,2023,0.005877555611800107,0.0068849449204406365,0
South Dakota,2023,4.780786861272814e-4,9.944920440636475e-4,0
Tennessee,2023,0.009336595517309261,0.008414932680538556,0
Texas,2023,0.06470935628111027,0.042304161566707466,0
Utah,2023,0.011248910261818386,0.009944920440636475,0
Vermont,2023,0.002193537501054585,0.00436046511627907,0
Virginia,2023,0.023875812030709525,0.020501835985312116,0
Washington,2023,0.042773981270564414,0.031517747858017135,0
West Virginia,2023,7.874237183272871e-4,0.0013769889840881274,0
Wisconsin,2023,0.007002446637981946,0.009562423500611995,0
Wyoming,2023,3.093450322000056e-4,6.119951040391676e-4,0
Alabama,2024,0.0036558958350909757,0.004436964504283966,0
Alaska,2024,7.593014426727411e-4,6.884944920440637e-4,0
Arizona,2024,0.02525380353778228,0.019583843329253364,0
Arkansas,2024,0.001996681571472764,0.0024479804161566705,0
California,2024,0.3533845158750246,0.3141829865361077,1
Colorado,2024,0.025338170364745914,0.028687270501835987,0
Connecticut,2024,0.008886639106836526,0.014075887392900856,0
Delaware,2024,0.002362271154981861,0.0029069767441860465,0
District of Columbia,2024,0.002277904328018223,0.0028304773561811506,0
Florida,2024,0.07168368064343766,0.043834149326805384,0
Georgia,2024,0.02598498270480047,0.017365361077111383,0
Hawaii,2024,0.007199302567563767,0.005584455324357405,0
Idaho,2024,0.002390393430636407,0.003518971848225214,0
Illinois,2024,0.028009786551927783,0.02555079559363525,0
Indiana,2024,0.007339913945836497,0.009868421052631578,0
Iowa,2024,0.002531004808909137,0.004666462668298654,0
Kansas,2024,0.003177817148963694,0.004283965728274173,0
Kentucky,2024,0.003262183975927332,0.004283965728274173,0
Louisiana,2024,0.0023060266036727694,0.0030599755201958386,0
Maine,2024,0.0020810483984364013,0.005813953488372093,0
Maryland,2024,0.020276160746927643,0.023944308445532435,0
Massachusetts,2024,0.020754239433054922,0.03350673194614443,0
Michigan,2024,0.014145504654236621,0.022261321909424724,0
Minnesota,2024,0.010433364267836554,0.012316401468788249,0
Mississippi,2024,0.0010124019235636548,0.0015299877600979193,0
Missouri,2024,0.0075648921510728644,0.010633414932680538,0
Montana,2024,0.0012936246801091144,0.001912484700122399,0
Nebraska,2024,0.0019404370201636717,0.0029069767441860465,0
Nevada,2024,0.013329958660254788,0.008108935128518973,0
New Hampshire,2024,0.0027841052898000505,0.005048959608323134,0
New Jersey,2024,0.03790882758232796,0.03128824969400245,0
New Mexico,2024,0.0028965943924182344,0.003748470012239902,0
New York,2024,0.03692454793441885,0.07060893512851897,0
North Carolina,2024,0.019741837509491267,0.018130354957160342,0
North Dakota,2024,2.8122275654545966e-4,6.119951040391676e-4,0
Ohio,2024,0.014173626929891167,0.01835985312117503,0
Oklahoma,2024,0.00641187884923648,0.025244798041615668,0
Oregon,2024,0.018110745521527603,0.022031823745410038,0
Pennsylvania,2024,0.019741837509491267,0.029758261933904528,0
Rhode Island,2024,0.0017998256418909418,0.003901468788249694,0
South Carolina,2024,0.005877555611800107,0.0068849449204406365,0
South Dakota,2024,4.780786861272814e-4,9.944920440636475e-4,0
Tennessee,2024,0.009336595517309261,0.008414932680538556,0
Texas,2024,0.06470935628111027,0.042304161566707466,0
Utah,2024,0.011248910261818386,0.009944920440636475,0
Vermont,2024,0.002193537501054585,0.00436046511627907,0
Virginia,2024,0.023875812030709525,0.020501835985312116,0
Washington,2024,0.042773981270564414,0.031517747858017135,0
West Virginia,2024,7.874237183272871e-4,0.0013769889840881274,0
Wisconsin,2024,0.007002446637981946,0.009562423500611995,0
Wyoming,2024,3.093450322000056e-4,6.119951040391676e-4,0
